ID;s1i1;s1i2;s1i3;s1i4;s1i5;s1i6;s1i7;s1i8;s1i9;s2i1;s2i2;s2i3;s2i4;s2i5;s2i6;s2i7;s2i8;s2i9;s3i1;s3i2;s3i3;s3i4;s3i5;s3i6;s3i7;s3i8;s3i9;s4i1;s4i2;s4i3;s4i4;s4i5;s4i6;s4i7;s4i8;s4i9;s5i1;s5i2;s5i3;s5i4;s5i5;s5i6;s5i7;s5i8;s5i9;s6i1;s6i2;s6i3;s6i4;s6i5;s6i6;s6i7;s6i8;s6i9;s7i1;s7i2;s7i3;s7i4;s7i5;s7i6;s7i7;s7i8;s7i9;s8i1;s8i2;s8i3;s8i4;s8i5;s8i6;s8i7;s8i8;s8i9
F 18 11 91 SC 88;2;3;3;4;2;3;2;3;4;3;3;2;4;3;3;4;3;2;3;4;3;2;2;2;4;3;3;2;4;4;4;4;3;1;2;1;3;2;3;2;2;3;2;1;3;3;3;2;3;2;3;3;3;2;2;4;3;2;3;3;2;4;2;3;2;2;3;3;2;4;3;3
F241185MC70;5;3;4;4;2;2;4;3;2;3;3;4;1;2;3;3;3;4;3;4;4;3;3;4;2;2;3;2;1;4;3;3;3;4;4;4;4;2;3;2;4;4;2;2;2;1;3;4;4;4;2;2;4;2;1;2;5;4;5;5;3;4;1;5;1;5;1;1;4;5;2;1
f 29 07 89 GR 05;5;4;3;5;5;2;2;4;3;2;1;2;4;5;3;1;2;5;2;5;4;1;2;4;4;2;2;2;2;3;5;5;3;4;3;4;4;3;2;1;4;4;3;2;4;1;3;2;4;3;2;2;4;4;4;4;2;1;1;1;1;5;5;2;3;4;5;5;1;1;3;2
M 23 07 91 SB 36;4;4;4;4;3;3;3;2;3;4;3;4;3;4;3;3;4;2;3;4;3;4;3;4;2;3;3;2;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;4;2;3;3;4;3;3;4;4;4;3;4;3;4;4;4;3;3;4;3;4;4;3;3;4;3;4;2;3
F170490FM48;2;4;2;1;1;3;4;2;3;2;2;2;5;3;4;5;3;1;4;4;3;2;1;4;4;3;2;2;4;5;5;5;4;1;1;1;5;2;2;2;2;4;3;2;2;1;1;1;4;2;2;4;4;2;1;4;2;1;1;2;1;5;3;2;2;2;2;3;3;4;4;1
F111191ST94;2;2;2;2;1;1;2;2;5;3;1;2;4;5;3;4;4;2;3;4;3;2;2;3;4;3;4;3;5;5;5;5;3;1;1;1;2;4;3;1;3;3;1;2;3;2;1;1;5;2;2;4;4;3;4;4;3;1;1;2;1;4;3;3;3;1;1;5;3;3;5;2
f060589ef25;4;2;4;2;1;3;4;2;4;4;2;2;4;4;3;3;2;2;3;4;3;2;2;3;4;4;4;2;2;3;4;2;4;3;4;4;4;4;4;1;2;2;2;1;4;2;2;3;4;2;2;3;4;4;4;3;4;2;3;3;2;4;4;4;4;2;4;4;2;4;4;3
F101190MD65;2;4;1;2;1;1;4;1;2;1;1;1;1;4;5;5;5;4;5;5;4;2;1;1;4;4;4;5;4;5;5;5;4;1;1;2;4;5;5;1;1;1;1;1;5;1;1;1;5;1;3;5;5;5;1;5;2;1;1;1;1;5;5;1;1;1;5;5;1;1;5;1
F 24 02 95 FT 50;3;1;5;1;3;3;2;2;3;2;1;2;5;5;3;4;3;1;3;4;2;1;2;4;5;3;5;3;4;3;5;3;3;1;2;1;3;5;5;1;3;3;1;1;5;3;1;2;5;1;3;4;4;5;3;5;2;1;2;3;1;4;5;3;3;2;4;4;4;1;5;1
F 01 11 89 GT 24;2;4;4;3;3;2;4;3;3;3;4;3;4;4;3;3;2;2;3;3;3;2;3;3;3;3;4;2;3;3;4;3;4;3;2;3;3;4;3;2;3;4;4;3;3;2;3;3;3;4;2;3;2;3;2;4;3;2;2;3;2;4;4;3;4;2;3;3;3;2;3;2
F 29 12 91 BDL 89;2;4;2;4;3;4;4;2;2;2;2;2;4;3;2;4;3;2;2;4;3;2;3;4;4;2;2;1;2;2;2;2;4;4;4;4;4;2;2;2;3;3;4;3;2;4;2;2;4;2;4;4;4;4;2;2;4;2;3;4;2;3;2;4;2;3;4;2;3;3;2;4
F 180791 ACB 47;2;2;4;2;1;2;4;1;2;3;2;2;2;4;3;4;4;2;3;4;3;2;2;3;4;3;4;2;4;4;4;4;3;2;2;2;2;4;4;2;2;4;2;4;4;2;2;2;4;1;3;4;4;4;3;4;2;2;2;3;3;4;4;4;4;2;3;4;4;3;4;2
F 15 01 60 CB 61;3;1;5;1;1;1;4;1;1;5;1;1;5;5;5;5;4;3;4;4;2;5;1;4;4;4;4;3;2;1;5;5;4;1;1;1;4;3;5;1;5;1;1;1;5;2;2;2;5;1;2;3;1;1;4;4;3;1;1;1;1;4;5;5;3;1;4;5;1;3;4;1
M 06 11 87 AG 64;2;2;3;1;3;3;2;1;2;2;1;4;2;5;4;4;2;1;3;4;1;2;1;4;4;3;5;2;3;2;4;3;3;1;2;1;5;4;5;1;2;4;1;1;5;3;1;2;5;1;2;4;4;5;2;3;3;4;4;3;2;3;3;3;2;3;3;2;4;4;2;4
M 14 05 90 GB 52;4;1;4;4;5;2;2;1;2;1;1;1;5;5;5;5;5;1;5;5;1;1;1;5;5;5;5;4;3;3;3;5;4;1;1;1;5;1;1;1;5;2;4;4;2;2;2;2;2;2;3;3;4;2;3;3;3;3;3;4;2;5;4;2;2;2;2;4;3;2;4;2
F 24 01 64 S M  70;1;1;1;1;4;5;4;2;1;5;1;1;5;5;3;5;5;1;5;3;1;1;1;5;5;5;5;5;1;5;5;5;1;1;1;1;1;1;5;1;1;1;1;1;5;5;1;1;1;1;1;5;5;5;5;5;1;1;1;1;1;5;5;5;5;1;5;1;1;1;5;1
F 03 03 91 SM 28;2;4;5;2;3;3;4;1;3;3;1;3;4;4;3;3;4;1;3;4;2;2;2;3;4;4;4;3;3;3;4;3;3;1;1;2;3;4;4;1;3;3;1;2;4;3;1;2;4;2;3;4;4;4;3;4;3;1;3;3;1;3;4;3;4;2;4;4;3;1;4;1
F08021991LB19;4;2;4;2;2;2;4;2;4;2;1;2;4;4;4;2;1;2;2;2;1;2;2;4;5;3;4;2;2;3;5;5;2;1;1;1;4;2;4;1;1;4;2;1;2;2;1;2;1;2;3;2;4;2;4;4;2;1;1;2;2;4;2;4;1;2;3;4;2;4;2;4
F 15 02 1991 MC 17;1;3;2;2;2;2;4;2;4;2;2;2;4;4;3;4;2;2;2;4;3;2;2;4;4;4;4;2;4;3;4;4;4;2;2;2;4;4;4;2;3;4;2;2;4;2;2;2;2;2;2;4;4;2;2;4;4;2;2;3;2;4;4;2;4;3;4;4;3;2;4;2
F290190JP63;3;2;4;1;1;3;3;2;4;3;1;2;5;4;3;3;3;1;3;4;2;1;2;3;5;3;4;3;5;4;5;5;3;1;2;2;3;3;5;1;2;3;2;1;3;2;1;2;4;2;3;4;5;3;3;4;1;1;2;3;2;5;3;3;2;2;4;4;3;2;5;3
F260489CC61;3;2;4;2;1;3;4;2;4;2;2;2;3;4;4;4;3;2;4;4;3;2;2;4;4;3;4;2;2;2;4;4;4;1;4;4;2;3;4;1;1;2;1;1;5;3;1;4;5;1;3;3;4;5;2;4;4;1;4;4;1;4;5;4;2;3;2;4;3;3;4;3
F271090DFF71;2;5;3;4;2;2;2;3;3;2;1;1;1;5;3;5;5;1;2;4;1;1;1;3;4;4;4;2;4;3;1;5;2;1;3;1;4;2;3;1;3;3;4;3;2;2;2;3;4;1;4;4;4;5;4;4;3;2;2;2;2;3;5;4;2;2;3;4;2;4;3;2
F020591MARO33;2;4;4;4;3;2;2;1;2;3;3;3;4;4;3;4;4;2;3;4;3;3;2;2;3;1;2;3;3;3;4;5;3;2;2;1;4;3;4;2;1;2;2;1;3;2;2;2;4;2;2;3;3;3;3;4;2;2;1;1;2;4;4;4;2;2;4;3;4;4;3;4
f 21 07 89 NS 43;2;2;3;2;1;2;5;2;4;4;1;3;4;4;3;3;4;1;2;4;1;1;2;3;5;5;4;4;4;3;3;4;4;1;1;1;3;1;3;1;1;2;1;1;4;4;2;2;2;2;2;3;4;4;4;3;1;5;4;3;2;5;4;4;4;2;4;4;2;2;4;3
F 03 03 91 EC 87;3;1;4;2;4;3;5;3;2;2;1;1;5;5;3;5;1;1;5;5;3;3;2;3;4;4;4;3;4;3;4;4;3;1;1;3;3;2;3;1;3;3;1;1;3;2;1;1;5;2;1;4;4;4;2;4;1;1;1;3;1;4;4;4;2;3;3;3;3;2;4;4
M 3 08 1991 EF 13;2;3;3;4;2;2;2;3;3;3;2;2;4;4;4;4;4;2;2;3;2;3;2;4;4;3;4;2;4;4;4;4;4;2;2;3;4;4;2;3;4;4;4;3;3;3;2;4;4;2;3;4;4;4;2;4;3;3;3;4;2;4;4;3;2;2;3;3;4;4;4;2
F 13 11 88 SG 13;1;2;3;2;2;3;4;3;4;3;2;3;4;4;3;4;5;1;3;3;3;2;2;3;4;3;4;3;3;3;1;4;3;2;3;3;2;4;3;1;1;2;1;1;3;1;1;2;4;3;2;4;3;3;1;3;3;1;2;1;1;3;2;4;2;3;3;4;2;4;3;4
f060269sc31;2;4;4;1;2;2;4;1;4;2;3;4;1;4;4;4;4;2;5;4;3;2;4;4;3;1;3;3;4;2;4;2;5;1;1;3;5;3;3;3;3;3;3;3;3;1;3;3;1;4;3;3;5;1;1;4;2;1;2;3;1;4;3;4;2;5;2;2;4;4;3;4
F 17 02 91 AP 88;1;2;3;1;1;1;4;3;5;3;1;1;3;5;2;5;3;1;2;5;1;1;1;4;5;5;5;5;1;3;1;5;3;1;1;1;3;1;5;2;3;3;2;2;5;3;1;2;5;1;3;4;4;4;1;4;4;1;1;1;1;3;5;2;2;2;5;3;2;4;3;1
F 23 01 91 GG 63;2;3;5;4;2;3;3;2;2;3;2;2;2;4;3;4;4;3;3;2;2;2;3;4;3;2;4;2;3;3;2;4;3;2;2;3;2;4;4;2;2;3;2;2;2;2;2;3;4;3;3;4;4;4;3;2;3;2;3;3;2;4;2;3;2;3;4;4;4;4;4;3
F16101991AF90;4;4;1;3;2;2;5;1;1;3;1;4;4;5;5;5;2;1;4;4;1;1;1;4;4;2;5;4;4;3;1;5;3;1;2;1;4;4;3;2;2;3;1;1;3;4;1;2;4;2;4;5;5;1;2;5;5;2;1;3;1;4;5;4;2;5;2;2;4;4;5;2
F 28 10 91 RS 54;4;2;1;3;1;2;4;3;4;2;1;1;5;5;4;4;4;1;3;4;1;1;1;4;4;4;1;3;4;4;5;5;3;1;1;1;3;4;4;2;1;2;2;2;4;2;1;1;4;1;3;4;4;5;3;4;2;1;2;2;1;4;4;3;2;1;4;4;2;2;4;2
f251086cs83;2;2;4;2;2;3;4;2;2;5;1;3;5;5;3;3;2;2;3;4;3;2;1;2;2;3;4;5;5;5;5;5;3;1;1;1;3;5;5;1;1;1;1;1;5;4;1;1;5;1;1;5;5;5;3;5;3;1;1;1;1;5;5;3;2;1;5;5;1;1;5;1
M 05 10 1987 DC 76;3;4;5;4;3;3;2;1;2;2;1;2;1;2;3;4;3;3;4;3;3;2;2;4;4;4;5;4;3;2;2;5;4;1;2;3;4;3;5;1;3;3;2;2;4;3;2;2;4;4;3;2;5;4;3;4;2;2;3;3;2;5;4;4;4;2;4;4;3;2;5;4
F 24 06 91 FS 68;2;4;4;4;3;3;4;4;3;2;3;3;3;4;3;4;4;2;2;4;2;2;2;3;4;4;4;2;4;3;4;4;3;2;2;2;3;4;4;2;3;4;2;2;3;2;2;2;4;2;3;4;2;4;3;4;2;2;3;3;2;4;3;3;4;2;4;4;3;2;4;2
M151088MD15;1;2;5;2;1;2;5;2;4;4;1;1;5;4;4;2;4;1;1;4;3;4;1;2;4;3;5;4;2;2;4;2;4;2;3;4;2;3;1;4;4;4;4;1;2;4;1;1;5;1;5;5;4;4;2;3;4;2;4;3;1;4;3;4;3;2;2;2;3;4;3;4
F 04 07 84  TS 79;2;2;3;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;2;3;4;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3
F101184FF258;1;2;4;4;2;3;2;1;4;3;1;1;5;4;3;3;4;1;3;5;2;1;1;3;5;5;5;4;4;3;5;5;3;1;1;1;2;3;4;2;2;2;2;1;4;1;2;2;4;2;2;4;5;4;3;4;2;2;2;2;1;4;4;2;2;1;3;4;3;3;3;2
F 26 08 90 BA 84;2;1;4;1;1;2;5;1;4;3;1;1;5;5;4;5;5;1;4;4;3;1;1;4;5;5;5;2;3;5;5;5;2;1;1;1;2;4;4;1;2;4;3;1;3;1;1;1;5;1;2;5;5;5;4;4;2;1;1;4;1;5;5;4;4;1;5;5;4;1;5;1
F181189CC43;2;1;1;2;1;3;4;1;5;4;1;1;1;5;4;3;2;1;4;2;3;1;1;4;5;4;5;2;3;4;3;4;5;1;1;2;5;3;1;4;5;5;5;3;1;2;1;3;3;1;2;3;3;5;3;3;3;1;1;2;1;5;2;2;1;3;3;5;2;4;3;5
M 03 05 66 AS 50;5;5;5;1;1;1;5;3;5;5;1;5;5;5;1;3;5;1;1;5;1;1;1;1;5;5;5;1;1;5;5;4;5;1;4;5;5;5;5;5;1;1;1;1;1;5;1;1;5;1;1;5;5;5;1;5;5;1;1;1;1;5;5;1;5;1;5;5;5;5;5;5
M 01 09 89 LM 00;2;1;2;1;3;3;4;5;2;3;1;3;4;3;4;4;3;2;4;3;2;1;1;4;5;3;4;2;2;4;5;4;4;1;2;3;3;1;2;3;3;4;4;3;2;2;1;1;2;3;2;4;5;5;3;3;3;1;2;3;2;4;5;4;1;1;1;2;4;4;5;5
F 22 01 90 CM 78;1;4;4;4;4;4;2;2;5;1;3;3;3;1;5;5;1;4;4;2;3;3;4;4;3;3;2;1;2;3;3;2;3;2;3;4;2;2;2;4;4;4;4;3;1;2;3;3;2;5;2;3;4;2;2;4;4;4;3;2;3;4;2;4;2;4;2;2;4;4;4;5
F06091991CB40;2;2;3;3;1;2;4;3;2;3;2;4;4;3;3;4;2;3;2;3;2;2;4;4;1;3;3;3;3;3;5;4;2;1;1;1;4;2;2;3;2;3;4;3;4;4;2;2;4;1;3;3;4;4;3;4;3;2;2;1;1;5;4;4;4;2;4;4;4;4;5;2
m210288al69;1;5;3;2;1;3;2;3;2;2;1;3;5;5;3;3;4;4;3;2;4;1;1;3;5;3;5;2;2;3;4;4;3;2;4;4;3;4;2;3;3;3;4;2;3;3;3;2;4;3;3;3;4;5;3;4;4;2;1;3;1;5;5;4;2;3;4;4;2;4;2;4
f060269sc31;1;1;1;1;1;1;1;2;4;4;3;2;2;1;2;4;5;3;2;2;3;2;1;2;4;4;4;4;2;3;2;5;5;1;1;3;4;2;3;2;3;5;2;3;3;2;2;1;2;2;4;3;4;4;3;3;2;2;1;3;1;1;4;4;4;3;3;2;4;4;4;2
F 24 06 91 AB 79;2;2;3;3;1;2;4;1;2;2;1;1;4;4;3;4;4;2;4;5;1;1;1;4;4;4;4;2;4;4;4;4;3;1;1;2;2;4;4;1;1;2;1;1;4;3;1;1;2;3;3;5;5;4;3;4;2;1;2;2;1;5;4;3;2;1;4;4;2;1;5;2
F 06 11 91 ES 34;2;3;3;2;2;2;4;2;3;4;4;3;3;2;2;2;2;1;1;5;2;1;1;1;5;5;5;3;4;3;5;5;1;2;1;1;3;3;2;2;2;2;2;2;3;2;2;2;4;2;4;4;4;4;2;4;2;2;2;2;2;5;4;4;2;2;4;4;4;2;4;2
M010158RR27;4;2;1;4;4;4;4;1;2;2;1;1;4;2;2;3;2;2;2;2;2;1;4;2;5;4;2;2;3;4;4;4;2;1;1;2;4;2;4;1;1;2;2;1;2;2;1;1;3;2;2;3;4;4;2;3;1;1;2;1;1;5;4;2;2;1;4;4;1;1;2;2
F050989CC94;1;1;4;1;1;3;5;3;4;2;1;1;5;5;5;5;5;1;5;5;1;1;1;5;5;3;5;3;4;4;5;3;5;2;1;1;4;5;3;1;5;3;1;1;5;1;1;1;5;3;3;5;5;5;1;5;2;1;1;3;1;5;5;3;2;1;2;5;3;4;5;1
M240291DT33;1;3;2;3;4;4;4;4;2;4;2;5;3;2;3;3;2;3;4;3;3;3;1;3;1;3;3;2;2;2;4;4;3;1;2;3;2;4;4;1;3;4;1;1;3;2;1;2;3;3;3;4;4;3;3;5;3;1;1;3;1;3;5;4;3;3;2;5;3;4;4;4
F 03 08 91 SL 64;3;4;4;4;2;3;2;2;4;4;2;2;4;4;3;4;4;2;4;4;2;2;1;4;3;2;4;4;4;4;2;2;3;2;2;2;2;3;4;2;2;1;1;1;1;2;2;2;3;2;3;4;4;4;3;4;3;2;1;2;2;4;4;3;2;2;4;3;2;4;4;3
F31011990FB73;2;3;5;3;2;2;5;1;3;3;2;3;2;3;3;3;2;3;2;3;4;4;4;3;2;3;3;3;4;3;4;4;3;2;2;3;2;4;2;2;4;3;4;4;3;3;4;4;2;3;3;3;4;3;3;5;2;2;2;2;2;4;4;3;4;2;2;3;3;2;4;3
F 11 10 66 MS 75;1;1;5;1;1;3;5;1;3;5;1;1;5;5;5;1;5;1;5;5;1;1;1;3;5;5;5;5;5;5;5;5;5;1;1;1;3;5;5;1;1;1;1;1;5;4;1;1;5;1;1;5;5;5;4;5;2;1;2;1;1;5;5;1;5;1;5;5;1;1;5;1
F140686VV57;1;1;5;2;1;3;3;5;5;2;1;1;1;5;3;5;4;1;2;2;5;5;5;3;3;2;5;4;3;3;3;4;2;2;1;1;2;2;2;1;1;3;2;1;4;1;1;2;3;2;3;4;5;3;3;4;2;1;2;3;2;4;4;2;2;3;1;3;4;4;4;4
F 01 01 91 MM 52;4;4;2;4;2;2;5;2;4;3;3;3;4;4;3;4;4;3;3;4;3;2;3;3;2;3;4;3;4;4;4;4;3;1;2;2;4;4;4;2;4;4;2;2;3;2;2;2;2;2;2;4;4;4;3;4;2;2;2;2;2;4;4;4;4;2;2;4;3;2;4;2
F;1;2;1;1;1;3;4;3;5;3;1;1;5;4;2;2;2;3;3;4;3;2;3;3;2;3;3;2;3;3;4;4;3;1;1;1;4;3;4;2;3;3;3;1;3;3;1;2;4;1;1;5;5;5;2;4;4;1;1;3;5;4;4;3;2;2;3;3;3;4;4;4
M 15 04 84 LG 18;2;1;4;1;1;3;1;2;3;2;1;1;4;2;3;3;2;2;2;3;2;4;1;4;4;2;2;2;2;3;5;3;3;1;2;1;2;2;4;1;1;4;1;1;2;3;1;4;2;1;3;2;4;1;3;2;2;1;2;3;1;5;2;4;2;1;4;4;4;2;2;2
F 26 02 90 SP 25;2;4;3;4;3;3;4;3;2;3;3;3;4;4;3;4;3;2;3;4;3;2;2;3;4;3;3;3;4;4;2;4;3;2;3;3;3;3;3;2;3;3;3;2;3;3;2;2;4;2;3;4;4;4;3;4;3;2;3;3;3;4;3;3;2;3;3;4;3;3;3;2
F 28 1088 CB 04;3;1;2;2;3;2;4;2;3;3;2;2;4;4;3;4;4;2;3;4;2;3;2;2;4;4;4;2;3;4;4;4;4;1;1;2;3;4;3;2;3;3;2;3;2;3;2;2;4;2;3;3;4;4;3;4;2;2;3;3;2;4;4;4;3;2;4;4;3;2;4;2
F170289VB96;2;4;3;2;2;2;4;2;2;4;2;1;4;4;4;4;4;2;4;2;2;2;1;4;5;4;4;3;4;4;4;4;3;2;1;2;3;4;4;2;3;2;2;1;4;2;1;2;4;2;3;4;4;4;3;4;3;1;2;2;2;4;5;3;4;3;4;4;2;4;4;4
F 25 03 90 IG 75;1;4;4;4;2;2;2;2;4;4;2;2;4;4;4;2;4;2;4;4;2;2;2;4;2;4;4;2;2;4;4;4;2;2;2;2;2;5;4;2;4;2;2;2;4;2;2;2;4;2;2;4;4;4;2;4;2;2;2;2;2;4;4;4;4;2;4;4;2;2;4;2
F 13 11 55 RF 28;5;5;5;2;1;1;5;1;5;2;1;1;5;5;4;5;5;1;2;5;1;1;1;3;5;5;5;3;3;3;5;5;5;1;1;1;5;5;5;1;1;4;1;1;5;1;1;1;5;1;3;5;5;5;3;5;2;1;1;3;1;5;5;3;5;1;5;5;4;1;5;1
F 29 10 88 DM 01;2;2;2;3;2;2;4;1;2;2;1;2;5;4;4;4;2;1;4;4;2;1;1;4;5;3;4;2;2;4;1;5;2;1;1;2;2;3;2;1;1;4;2;1;4;2;1;1;5;2;2;4;5;5;2;2;1;1;2;2;1;5;2;4;2;1;5;4;2;2;4;1
F 13 01 88 MA 21;1;4;5;3;2;2;4;2;2;2;2;2;3;4;3;4;2;2;4;4;3;2;2;4;4;3;4;4;4;3;4;4;2;2;2;2;2;3;4;2;3;2;2;2;4;2;2;2;4;2;4;4;4;4;4;4;2;2;2;2;2;4;4;4;4;2;3;4;2;2;4;2
F 04 06 89 LB 14;2;3;4;4;4;4;4;2;2;3;2;2;4;3;3;3;4;3;3;4;3;2;2;4;4;3;3;2;2;3;2;3;3;2;2;3;3;3;4;2;3;3;2;3;3;2;2;3;4;3;2;3;4;3;3;3;2;2;3;3;2;4;3;4;4;2;2;3;4;4;4;3
F 13 01 90 CG 14;1;2;4;1;1;2;5;2;4;3;1;2;4;4;2;5;5;2;3;4;2;1;1;4;5;5;5;3;3;4;5;5;4;1;1;1;5;4;4;1;1;3;2;1;5;2;1;1;5;1;2;4;4;5;3;4;2;1;1;3;1;4;5;4;2;2;3;5;2;3;4;1
F 20 07 94 I C 12;4;5;5;4;4;4;3;3;1;3;1;3;3;5;5;5;4;1;2;5;2;1;1;3;5;4;5;3;3;5;5;1;3;1;1;1;3;3;2;3;4;5;4;3;5;1;3;3;3;1;2;5;5;5;3;3;3;1;1;1;1;4;5;4;4;4;3;5;3;4;3;1
NO ANSWER;4;4;5;3;2;2;2;2;4;4;2;2;2;4;3;4;4;2;4;4;4;2;2;2;4;2;2;4;4;4;4;4;3;2;2;4;4;4;2;2;2;2;2;2;4;4;4;2;4;2;4;2;4;4;2;4;2;2;2;2;2;4;4;4;2;2;4;3;2;2;4;2
NO ANSWER;4;4;5;3;2;2;2;2;4;4;2;2;2;4;3;4;4;2;4;4;4;2;2;2;4;2;2;4;4;4;4;4;3;2;2;4;4;4;2;2;2;2;2;2;4;4;4;2;4;2;4;2;4;4;2;4;2;2;2;2;2;4;4;4;2;2;4;3;2;2;4;2
F 28 10 88 CB 04;3;2;1;2;4;2;5;4;3;3;2;2;1;2;3;4;2;2;2;4;2;1;4;3;3;2;4;4;3;4;4;4;3;2;2;2;4;2;4;2;3;4;3;2;2;2;2;2;2;2;3;4;2;3;2;4;2;1;1;4;2;4;3;3;4;1;2;3;3;2;3;3
F 28 04 64 RF 93;1;2;3;1;2;3;4;2;3;3;2;2;5;5;3;3;5;1;3;4;2;1;1;3;5;5;5;3;3;3;5;5;3;5;5;5;3;3;5;1;2;3;2;1;5;3;2;1;5;5;3;3;5;5;3;3;3;1;1;2;1;3;5;3;3;2;5;5;3;4;4;5
F160589VR57;2;2;4;2;2;2;4;2;2;4;2;2;4;4;4;4;3;2;4;4;3;2;2;3;4;3;4;2;2;3;4;3;4;2;2;3;4;3;3;2;3;3;4;2;3;2;2;2;4;2;2;3;4;4;2;4;3;2;2;2;2;3;4;4;4;2;4;3;3;4;4;2
F200290FB44;2;4;4;2;2;2;4;2;4;2;4;4;3;3;4;4;4;3;2;4;2;2;2;3;4;4;4;4;4;4;4;4;3;1;1;1;2;3;2;1;1;2;2;1;5;1;2;2;4;4;3;4;4;4;3;4;4;2;2;2;2;4;4;4;4;2;4;3;4;4;4;2
M110685MR67;3;4;3;3;3;2;4;3;3;3;3;3;4;4;3;3;3;3;3;3;4;3;2;3;3;3;3;2;2;3;4;3;2;1;2;2;3;3;3;2;3;2;3;2;2;3;2;2;2;2;3;3;2;3;3;4;3;3;3;3;3;4;3;3;2;2;3;3;3;3;3;3
F200290FB44;1;1;1;1;1;1;5;5;2;1;1;1;4;5;3;3;2;1;1;5;1;1;1;3;5;3;5;3;5;4;5;5;3;1;1;1;4;5;2;1;1;1;3;1;5;3;1;1;5;1;3;5;5;5;1;1;1;1;4;1;1;5;5;1;5;1;3;3;2;1;4;4
F22 03 90 NA 54;1;2;3;1;1;2;5;2;5;2;1;2;2;5;4;4;4;1;4;3;2;1;1;4;3;3;4;2;2;3;4;2;4;1;1;1;4;4;2;1;4;5;1;1;3;2;1;2;4;3;2;4;4;3;2;3;2;1;1;3;1;4;3;2;2;2;2;3;5;4;4;3
F 20 07 91 EF 30;4;4;4;2;4;4;2;4;2;2;2;2;4;4;4;4;4;2;2;2;4;4;4;4;2;2;2;2;2;2;2;2;2;4;4;4;2;4;2;4;4;4;4;4;2;2;2;4;4;4;2;2;2;2;2;4;4;2;4;4;2;4;2;4;2;2;2;4;4;4;2;4
M 18 10 88 PDP 21;3;5;5;3;4;5;5;1;1;3;1;1;5;5;3;5;2;1;3;5;3;3;1;4;5;2;5;1;1;4;5;2;5;4;3;1;5;5;3;3;4;3;4;3;5;2;1;3;5;1;3;5;5;4;3;5;1;1;3;2;2;5;5;3;4;3;2;3;3;4;3;4
F 06 0665 AM 27;1;5;5;1;1;1;3;1;5;3;1;1;5;5;5;5;5;1;3;5;1;1;1;3;5;5;5;1;3;5;5;5;5;1;1;1;5;5;5;1;1;1;1;1;1;5;1;1;5;1;5;5;5;5;1;5;1;1;1;1;1;5;5;3;4;1;5;5;1;1;5;1
F160789EK34;3;5;4;5;3;3;1;4;2;2;4;4;2;2;2;3;4;2;2;4;2;4;3;4;2;2;3;1;2;3;2;2;3;4;4;4;2;3;2;2;4;4;2;1;2;1;4;4;3;4;2;2;2;2;4;3;4;4;4;4;4;3;2;4;2;4;1;2;4;4;3;4
M 23 02 89 GB 28;2;2;3;3;3;3;4;4;3;3;2;2;2;2;2;2;4;2;4;4;2;3;2;3;4;4;4;4;4;3;3;4;3;2;2;2;2;2;4;2;2;2;2;2;4;2;3;3;3;2;3;3;4;4;3;4;2;2;2;3;2;4;5;4;4;2;2;4;2;3;3;3
m9289mr32;2;2;3;2;2;3;3;2;3;3;3;3;5;4;5;4;4;2;2;3;4;2;3;4;4;3;3;2;3;2;4;4;4;1;2;3;4;3;3;2;3;3;3;3;3;1;4;2;4;2;3;3;4;4;3;3;3;2;2;3;2;4;4;4;2;3;3;4;4;2;3;2
