3.88	4.75	2.75	4.63	5.88	3.13	4.38	5.38	3.00	2.88	4.88	2.13	5.00	5.00	3.80	5.00	4.67	3.40	4.33	3.80	5.00	5.00	1.67	3.20
1.00	4.63	1.38	3.25	5.50	3.25	3.63	5.63	2.88	1.50	4.63	1.38	4.67	4.40	4.20	4.80	4.00	1.80	4.00	4.20	4.40	4.40	1.00	1.60
2.50	4.75	2.00	1.63	4.25	2.88	1.88	5.63	2.38	1.50	4.38	1.88	4.00	5.00	3.80	5.00	4.00	1.40	5.00	4.40	5.00	5.00	1.00	1.60
1.88	4.88	1.25	3.25	5.50	2.63	3.63	4.63	3.13	1.50	4.50	1.00	4.00	4.20	2.40	4.40	3.33	2.20	4.67	4.60	5.00	5.00	1.00	1.40
4.13	5.63	2.38	2.63	5.00	2.00	4.00	5.25	2.00	3.75	4.38	4.13	4.00	4.00	3.20	3.80	3.67	2.60	4.67	4.80	3.00	3.60	2.33	2.40
2.00	4.38	1.13	3.25	5.38	1.63	4.25	4.50	2.00	2.38	2.38	1.25	5.00	4.40	4.80	4.20	2.67	1.40	2.00	2.80	2.60	3.20	1.00	3.40
3.25	5.50	5.13	2.63	4.13	3.75	2.50	4.75	3.00	3.63	5.25	4.63	3.67	4.80	4.20	4.00	3.00	3.00	4.00	4.00	4.00	4.40	1.67	2.00
1.88	5.75	1.50	3.13	5.38	2.00	3.38	4.88	1.88	2.75	5.50	1.25	4.33	4.00	4.20	4.80	3.00	2.00	5.00	5.00	5.00	5.00	1.00	1.40
1.00	3.25	1.00	2.88	2.88	1.13	4.25	3.63	1.38	1.00	3.63	1.00	4.00	4.20	2.20	4.40	2.00	1.40	3.67	4.20	2.80	4.20	1.00	1.20
1.75	4.38	1.38	2.38	5.13	2.00	2.50	5.00	1.38	2.13	4.13	1.63	4.00	4.20	3.80	4.00	1.67	2.80	4.00	4.00	3.60	4.40	1.00	2.20
