day,time_window,context,scs_pos_1,scs_neg_2,scs_pos_3,scs_neg_4,scs_neg_5,scs_pos_6,scs_pos_7,scs_neg_8,neg_aff,neg_aff_Moment,neg_aff_Day,neg_aff_Person,context_Moment,context_Day,context_Person,user_id
6,5,2,3,-3,2,-2,-3,3,3,3,-8,-0.4,-2.75,-2.59,0.4,0.5,0.72,J4UCFGwTmf
7,1,1,2,2,2,-2,-3,2,2,3,-8,-2.4,-0.75,-2.59,0,-0.1,0.72,J4UCFGwTmf
7,2,0,1,-1,1,1,-1,1,1,1,-2,3.6,-0.75,-2.59,-1,-0.1,0.72,J4UCFGwTmf
7,3,1,2,-2,2,-1,-3,1,2,2,-5,0.6,-0.75,-2.59,0,-0.1,0.72,J4UCFGwTmf
7,4,1,2,-2,2,-2,-2,2,2,2,-5,0.6,-0.75,-2.59,0,-0.1,0.72,J4UCFGwTmf
7,5,2,3,-3,2,-2,-2,3,2,2,-8,-2.4,-0.75,-2.59,1,-0.1,0.72,J4UCFGwTmf
8,1,0,1,-1,1,3,2,1,-1,1,0,-1,5.85,-2.59,0,-1.1,0.72,J4UCFGwTmf
8,3,0,1,-1,-1,-1,1,1,-1,-1,3,2,5.85,-2.59,0,-1.1,0.72,J4UCFGwTmf
8,4,0,-1,1,1,-1,1,-1,1,1,1,0,5.85,-2.59,0,-1.1,0.72,J4UCFGwTmf
8,5,0,-1,1,1,1,1,-1,1,1,0,-1,5.85,-2.59,0,-1.1,0.72,J4UCFGwTmf
1,1,0,3,-2,3,1,-2,3,2,-2,-3,1.8,-1.42,-1.11,0,-0.44,0.06,Aw0g0OMdWT
1,2,0,2,-2,2,-2,-2,2,2,-3,-6,-1.2,-1.42,-1.11,0,-0.44,0.06,Aw0g0OMdWT
1,3,0,2,-2,2,-2,-3,2,2,-2,-6,-1.2,-1.42,-1.11,0,-0.44,0.06,Aw0g0OMdWT
1,4,0,2,-2,3,-2,-3,2,2,1,-4,0.8,-1.42,-1.11,0,-0.44,0.06,Aw0g0OMdWT
1,5,0,2,-2,2,-2,-3,2,2,-2,-5,-0.2,-1.42,-1.11,0,-0.44,0.06,Aw0g0OMdWT
2,1,2,2,-2,2,1,-3,2,2,-3,-2,-0.4,1.78,-1.11,1.4,0.16,0.06,Aw0g0OMdWT
2,2,0,2,-2,2,1,-2,2,2,1,-2,-0.4,1.78,-1.11,-0.6,0.16,0.06,Aw0g0OMdWT
2,3,1,2,-2,2,1,-2,2,2,1,-2,-0.4,1.78,-1.11,0.4,0.16,0.06,Aw0g0OMdWT
2,4,0,2,-2,3,2,-2,2,2,1,-2,-0.4,1.78,-1.11,-0.6,0.16,0.06,Aw0g0OMdWT
2,5,0,2,-2,3,1,-2,2,2,1,0,1.6,1.78,-1.11,-0.6,0.16,0.06,Aw0g0OMdWT
3,1,-1,2,-3,2,-2,-2,2,2,-2,-1,0.6,1.78,-1.11,-1.2,-0.24,0.06,Aw0g0OMdWT
3,2,0,2,-3,2,-2,-2,2,2,-2,0,1.6,1.78,-1.11,-0.2,-0.24,0.06,Aw0g0OMdWT
3,3,0,2,-3,2,-2,-3,2,2,-2,1,2.6,1.78,-1.11,-0.2,-0.24,0.06,Aw0g0OMdWT
3,4,0,2,-3,2,-2,-3,2,2,-2,0,1.6,1.78,-1.11,-0.2,-0.24,0.06,Aw0g0OMdWT
3,5,2,3,-3,2,-3,-3,2,2,1,-8,-6.4,1.78,-1.11,1.8,-0.24,0.06,Aw0g0OMdWT
4,1,1,2,-3,-3,-2,-3,2,2,-3,-6,-0.4,-2.22,-1.11,0,0.56,0.06,Aw0g0OMdWT
4,2,0,2,-3,-2,-3,-3,2,2,-2,-6,-0.4,-2.22,-1.11,-1,0.56,0.06,Aw0g0OMdWT
4,3,2,3,-3,-2,-3,-3,2,2,2,-7,-1.4,-2.22,-1.11,1,0.56,0.06,Aw0g0OMdWT
4,4,2,2,-3,-2,-3,-3,2,2,-2,-7,-1.4,-2.22,-1.11,1,0.56,0.06,Aw0g0OMdWT
4,5,0,2,-3,2,-3,-3,2,2,2,-2,3.6,-2.22,-1.11,-1,0.56,0.06,Aw0g0OMdWT
5,1,0,2,-3,3,-3,-3,2,2,-2,-6,0.2,-2.82,-1.11,-0.8,0.36,0.06,Aw0g0OMdWT
5,2,1,2,-3,2,-3,-3,2,2,-2,-6,0.2,-2.82,-1.11,0.2,0.36,0.06,Aw0g0OMdWT
5,3,2,2,-3,3,-3,-3,2,2,1,-7,-0.8,-2.82,-1.11,1.2,0.36,0.06,Aw0g0OMdWT
5,4,0,2,-3,2,-3,-3,2,2,1,-6,0.2,-2.82,-1.11,-0.8,0.36,0.06,Aw0g0OMdWT
5,5,1,2,-3,2,-3,-3,2,2,1,-6,0.2,-2.82,-1.11,0.2,0.36,0.06,Aw0g0OMdWT
6,1,2,2,-3,2,-3,-3,2,2,2,-8,-1.4,-3.22,-1.11,1,0.56,0.06,Aw0g0OMdWT
6,2,1,2,-3,2,-3,-3,2,2,2,-8,-1.4,-3.22,-1.11,0,0.56,0.06,Aw0g0OMdWT
6,3,1,2,-3,2,-3,-3,2,2,1,-8,-1.4,-3.22,-1.11,0,0.56,0.06,Aw0g0OMdWT
6,4,-1,2,-3,-1,-3,-3,2,2,1,-1,5.6,-3.22,-1.11,-2,0.56,0.06,Aw0g0OMdWT
6,5,2,2,-3,2,-3,-3,2,2,2,-8,-1.4,-3.22,-1.11,1,0.56,0.06,Aw0g0OMdWT
7,1,-1,2,-3,-2,-1,-2,2,-1,2,1,0.4,3.98,-1.11,-0.8,-0.64,0.06,Aw0g0OMdWT
7,2,-1,2,-2,-2,1,-2,2,1,1,3,2.4,3.98,-1.11,-0.8,-0.64,0.06,Aw0g0OMdWT
7,3,2,2,-3,1,1,-2,2,2,-3,-6,-6.6,3.98,-1.11,2.2,-0.64,0.06,Aw0g0OMdWT
7,4,-1,2,-2,-2,1,-3,2,2,2,2,1.4,3.98,-1.11,-0.8,-0.64,0.06,Aw0g0OMdWT
7,5,0,2,-3,-2,-3,-2,2,2,1,3,2.4,3.98,-1.11,0.2,-0.64,0.06,Aw0g0OMdWT
8,1,2,2,-3,2,-3,-3,2,2,1,-6,0.2,-2.82,-1.11,0.8,0.76,0.06,Aw0g0OMdWT
8,2,1,2,-3,2,-3,-3,2,2,2,-7,-0.8,-2.82,-1.11,-0.2,0.76,0.06,Aw0g0OMdWT
8,3,1,2,-3,2,-3,-3,2,3,2,-6,0.2,-2.82,-1.11,-0.2,0.76,0.06,Aw0g0OMdWT
8,4,1,2,-3,2,-3,-3,2,2,1,-6,0.2,-2.82,-1.11,-0.2,0.76,0.06,Aw0g0OMdWT
8,5,1,2,-3,1,-3,-3,2,2,1,-6,0.2,-2.82,-1.11,-0.2,0.76,0.06,Aw0g0OMdWT
9,1,0,2,-3,1,-3,-3,2,2,-3,-5,-6.6,4.98,-1.11,0.6,-1.04,0.06,Aw0g0OMdWT
9,2,-1,2,-3,1,-3,-3,2,2,1,3,1.4,4.98,-1.11,-0.4,-1.04,0.06,Aw0g0OMdWT
9,3,-1,2,-3,2,-3,-3,2,2,2,3,1.4,4.98,-1.11,-0.4,-1.04,0.06,Aw0g0OMdWT
9,4,-1,2,-3,1,-3,-3,2,2,1,3,1.4,4.98,-1.11,-0.4,-1.04,0.06,Aw0g0OMdWT
9,5,0,2,-3,1,-3,-3,2,2,1,4,2.4,4.98,-1.11,0.6,-1.04,0.06,Aw0g0OMdWT
1,1,1,1,1,3,1,-2,2,2,-1,1,-3,4.92,1.34,1.5,-0.64,-0.24,twR90dgQZL
1,2,-1,-1,1,3,1,1,-2,-1,2,3,-1,4.92,1.34,-0.5,-0.64,-0.24,twR90dgQZL
1,3,0,-2,3,3,2,1,-1,-1,2,4,0,4.92,1.34,0.5,-0.64,-0.24,twR90dgQZL
1,5,-2,-2,3,3,3,1,-2,-3,3,8,4,4.92,1.34,-1.5,-0.64,-0.24,twR90dgQZL
2,1,0,-1,1,3,1,1,-2,-1,1,1,2,-0.07,1.34,-0.4,0.26,-0.24,twR90dgQZL
2,2,-1,-1,1,3,1,1,-1,-1,3,3,4,-0.07,1.34,-1.4,0.26,-0.24,twR90dgQZL
2,3,1,1,-1,3,1,-1,-1,1,1,-1,0,-0.07,1.34,0.6,0.26,-0.24,twR90dgQZL
2,4,2,1,-1,3,1,-2,-2,1,2,-4,-3,-0.07,1.34,1.6,0.26,-0.24,twR90dgQZL
2,5,0,-1,-1,3,1,1,-1,1,1,-4,-3,-0.07,1.34,-0.4,0.26,-0.24,twR90dgQZL
3,2,1,2,-1,3,1,-1,1,1,2,-3,-2.75,0.68,1.34,1,-0.14,-0.24,twR90dgQZL
3,3,-1,1,3,3,3,1,-1,-1,3,2,2.25,0.68,1.34,-1,-0.14,-0.24,twR90dgQZL
3,4,0,-1,-1,3,2,-1,1,1,1,-1,-0.75,0.68,1.34,0,-0.14,-0.24,twR90dgQZL
3,5,0,-1,1,3,1,1,-1,1,1,1,1.25,0.68,1.34,0,-0.14,-0.24,twR90dgQZL
4,2,0,1,-1,3,-1,-1,-1,-1,-1,-3,-0.75,-1.32,1.34,0.25,-0.39,-0.24,twR90dgQZL
4,3,0,2,-1,3,1,-1,-1,1,-1,-5,-2.75,-1.32,1.34,0.25,-0.39,-0.24,twR90dgQZL
4,4,0,2,1,3,1,1,-1,1,1,-2,0.25,-1.32,1.34,0.25,-0.39,-0.24,twR90dgQZL
4,5,-1,-1,1,3,1,-1,-1,-1,2,1,3.25,-1.32,1.34,-0.75,-0.39,-0.24,twR90dgQZL
5,2,1,1,-1,3,-1,-1,1,1,-1,-6,-1,-4.08,1.34,0,0.86,-0.24,twR90dgQZL
5,3,1,1,-1,3,-1,-2,1,1,-1,-5,0,-4.08,1.34,0,0.86,-0.24,twR90dgQZL
5,4,1,1,-2,3,-1,-1,1,1,-1,-5,0,-4.08,1.34,0,0.86,-0.24,twR90dgQZL
5,5,1,1,-1,3,1,-1,1,1,1,-4,1,-4.08,1.34,0,0.86,-0.24,twR90dgQZL
6,1,-1,-1,1,3,1,1,-1,1,3,4,3.4,1.52,1.34,-1,-0.14,-0.24,twR90dgQZL
6,2,0,-1,1,3,1,-1,-2,-1,1,0,-0.6,1.52,1.34,0,-0.14,-0.24,twR90dgQZL
6,3,0,-1,1,3,1,1,-2,-1,1,0,-0.6,1.52,1.34,0,-0.14,-0.24,twR90dgQZL
6,4,0,-1,1,3,1,-1,-2,-1,1,1,0.4,1.52,1.34,0,-0.14,-0.24,twR90dgQZL
6,5,1,-1,1,3,1,1,-1,1,-1,-2,-2.6,1.52,1.34,1,-0.14,-0.24,twR90dgQZL
7,2,2,1,-2,3,-2,-3,1,2,2,-7,-0.75,-5.32,1.34,0.5,1.36,-0.24,twR90dgQZL
7,3,2,1,-3,3,-2,-2,2,1,1,-7,-0.75,-5.32,1.34,0.5,1.36,-0.24,twR90dgQZL
7,4,1,1,-1,3,-1,-2,1,1,2,-6,0.25,-5.32,1.34,-0.5,1.36,-0.24,twR90dgQZL
7,5,1,1,-1,3,1,-1,1,1,1,-5,1.25,-5.32,1.34,-0.5,1.36,-0.24,twR90dgQZL
8,2,-1,1,1,3,1,1,1,-1,2,4,1.25,3.67,1.34,0,-1.14,-0.24,twR90dgQZL
8,3,-2,-2,3,3,3,3,-2,-2,3,8,5.25,3.67,1.34,-1,-1.14,-0.24,twR90dgQZL
8,4,-1,-1,1,3,1,1,-1,-1,1,1,-1.75,3.67,1.34,0,-1.14,-0.24,twR90dgQZL
8,5,0,1,-1,3,1,-1,-1,1,1,-2,-4.75,3.67,1.34,1,-1.14,-0.24,twR90dgQZL
1,1,1,1,1,3,2,-2,1,-1,2,-3,-2.4,2.02,-0.35,1,-0.65,0.27,MI7xs5D15C
1,2,0,2,-1,3,1,-1,1,1,1,-2,-1.4,2.02,-0.35,0,-0.65,0.27,MI7xs5D15C
1,3,0,1,-1,3,1,-1,1,1,1,0,0.6,2.02,-0.35,0,-0.65,0.27,MI7xs5D15C
1,4,1,1,-1,3,1,-1,1,1,1,1,1.6,2.02,-0.35,1,-0.65,0.27,MI7xs5D15C
1,5,-2,1,-1,3,1,-1,1,1,1,1,1.6,2.02,-0.35,-2,-0.65,0.27,MI7xs5D15C
2,1,0,1,-1,3,1,-2,1,1,-1,-4,-2,0.62,-0.35,-0.8,0.15,0.27,MI7xs5D15C
2,2,0,-1,-1,3,3,-1,1,1,1,-2,0,0.62,-0.35,-0.8,0.15,0.27,MI7xs5D15C
2,3,1,1,-1,3,2,-1,1,1,1,-1,1,0.62,-0.35,0.2,0.15,0.27,MI7xs5D15C
2,4,1,1,1,3,2,-1,1,1,1,1,3,0.62,-0.35,0.2,0.15,0.27,MI7xs5D15C
2,5,2,1,-1,3,1,-2,1,1,2,-4,-2,0.62,-0.35,1.2,0.15,0.27,MI7xs5D15C
3,1,1,2,-2,3,-2,-3,2,2,1,-7,-0.2,-4.18,-0.35,-0.4,0.75,0.27,MI7xs5D15C
3,2,1,2,-2,3,-2,-3,2,2,2,-6,0.8,-4.18,-0.35,-0.4,0.75,0.27,MI7xs5D15C
3,3,2,3,-2,3,-2,-2,2,2,2,-8,-1.2,-4.18,-0.35,0.6,0.75,0.27,MI7xs5D15C
3,4,1,2,-2,3,-2,-2,2,-2,1,-6,0.8,-4.18,-0.35,-0.4,0.75,0.27,MI7xs5D15C
3,5,2,3,-2,3,-2,-2,2,2,2,-7,-0.2,-4.18,-0.35,0.6,0.75,0.27,MI7xs5D15C
4,2,1,2,1,3,2,-2,1,2,3,-2,-0.5,1.12,-0.35,0.5,-0.15,0.27,MI7xs5D15C
4,3,0,-1,1,3,2,1,1,1,2,0,1.5,1.12,-0.35,-0.5,-0.15,0.27,MI7xs5D15C
4,4,1,2,-2,3,1,-1,1,1,1,-2,-0.5,1.12,-0.35,0.5,-0.15,0.27,MI7xs5D15C
4,5,0,1,-1,3,2,-1,1,1,1,-2,-0.5,1.12,-0.35,-0.5,-0.15,0.27,MI7xs5D15C
5,1,1,-1,1,3,2,1,1,-1,1,-5,-5.4,3.02,-0.35,0.8,-0.45,0.27,MI7xs5D15C
5,2,-1,1,1,3,2,1,1,-1,1,1,0.6,3.02,-0.35,-1.2,-0.45,0.27,MI7xs5D15C
5,3,1,1,1,3,3,1,1,-2,1,3,2.6,3.02,-0.35,0.8,-0.45,0.27,MI7xs5D15C
5,4,0,1,1,3,2,-1,1,-1,1,1,0.6,3.02,-0.35,-0.2,-0.45,0.27,MI7xs5D15C
5,5,0,1,1,3,2,1,1,1,1,2,1.6,3.02,-0.35,-0.2,-0.45,0.27,MI7xs5D15C
6,1,1,2,-1,3,1,-1,1,2,1,-3,-0.75,0.37,-0.35,0.25,0.1,0.27,MI7xs5D15C
6,2,0,1,-1,3,1,-1,1,1,1,-2,0.25,0.37,-0.35,-0.75,0.1,0.27,MI7xs5D15C
6,3,1,1,-1,3,2,-1,1,1,1,-2,0.25,0.37,-0.35,0.25,0.1,0.27,MI7xs5D15C
6,5,1,2,-1,3,2,-1,1,1,1,-2,0.25,0.37,-0.35,0.25,0.1,0.27,MI7xs5D15C
7,1,0,1,1,3,1,-1,1,1,1,1,0.4,3.22,-0.35,0.2,-0.85,0.27,MI7xs5D15C
7,2,0,-1,1,3,1,1,1,-1,2,4,3.4,3.22,-0.35,0.2,-0.85,0.27,MI7xs5D15C
7,3,0,1,1,3,2,-1,1,1,1,0,-0.6,3.22,-0.35,0.2,-0.85,0.27,MI7xs5D15C
7,4,-1,2,1,3,1,1,1,1,2,0,-0.6,3.22,-0.35,-0.8,-0.85,0.27,MI7xs5D15C
7,5,0,1,-1,3,1,-1,1,1,1,-2,-2.6,3.22,-0.35,0.2,-0.85,0.27,MI7xs5D15C
8,1,1,3,-2,3,-1,-2,2,2,1,-6,1,-4.38,-0.35,-0.4,0.75,0.27,MI7xs5D15C
8,2,2,3,-2,3,-2,-2,2,2,2,-8,-1,-4.38,-0.35,0.6,0.75,0.27,MI7xs5D15C
8,3,2,3,-2,3,-2,-2,2,2,1,-8,-1,-4.38,-0.35,0.6,0.75,0.27,MI7xs5D15C
8,4,1,2,-2,3,-2,-2,2,2,1,-7,0,-4.38,-0.35,-0.4,0.75,0.27,MI7xs5D15C
8,5,1,2,-2,3,-2,-2,2,2,1,-6,1,-4.38,-0.35,-0.4,0.75,0.27,MI7xs5D15C
9,1,1,2,-2,3,-2,-2,2,2,1,-5,-0.6,-1.78,-0.35,0,0.35,0.27,MI7xs5D15C
9,2,1,2,-2,3,-1,-2,2,1,2,-3,1.4,-1.78,-0.35,0,0.35,0.27,MI7xs5D15C
9,3,1,2,-1,3,-1,-2,2,1,1,-5,-0.6,-1.78,-0.35,0,0.35,0.27,MI7xs5D15C
9,4,1,2,-1,3,-1,-1,1,1,1,-2,2.4,-1.78,-0.35,0,0.35,0.27,MI7xs5D15C
9,5,1,2,-2,3,-2,-2,2,1,1,-7,-2.6,-1.78,-0.35,0,0.35,0.27,MI7xs5D15C
1,2,0,3,-1,2,-3,-3,1,3,3,2,3.75,-0.01,0.52,0.25,-0.03,-0.6,u6exlp64My
1,3,-1,2,-2,-3,-3,-3,2,2,-2,0,1.75,-0.01,0.52,-0.75,-0.03,-0.6,u6exlp64My
1,4,-1,3,-3,3,-3,-3,2,2,1,-1,0.75,-0.01,0.52,-0.75,-0.03,-0.6,u6exlp64My
1,5,1,3,-3,3,-3,-3,3,3,-1,-8,-6.25,-0.01,0.52,1.25,-0.03,-0.6,u6exlp64My
2,1,1,2,-3,3,-2,1,2,2,-3,-2,2,-2.26,0.52,0.33,0.89,-0.6,u6exlp64My
2,2,1,3,-2,2,-3,-3,2,3,1,-5,-1,-2.26,0.52,0.33,0.89,-0.6,u6exlp64My
2,5,0,2,-3,1,-3,-2,2,2,-1,-5,-1,-2.26,0.52,-0.67,0.89,-0.6,u6exlp64My
3,1,0,1,1,1,-1,-2,-1,2,-1,1,-0.4,3.14,0.52,0.4,-0.18,-0.6,u6exlp64My
3,2,1,2,-3,2,-3,-3,2,2,-1,-5,-6.4,3.14,0.52,1.4,-0.18,-0.6,u6exlp64My
3,3,-2,-2,1,-1,2,-3,-3,1,2,8,6.6,3.14,0.52,-1.6,-0.18,-0.6,u6exlp64My
3,4,0,2,-1,2,-2,-2,-1,2,-1,-1,-2.4,3.14,0.52,0.4,-0.18,-0.6,u6exlp64My
3,5,-1,1,1,-2,1,-2,-2,-1,-1,4,2.6,3.14,0.52,-0.6,-0.18,-0.6,u6exlp64My
4,1,0,2,-3,-1,1,-3,-1,3,1,-4,-0.8,-1.46,0.52,-0.2,0.42,-0.6,u6exlp64My
4,2,-1,2,-2,-1,-3,-3,-1,2,-1,0,3.2,-1.46,0.52,-1.2,0.42,-0.6,u6exlp64My
4,3,1,2,-3,-1,-3,-3,2,2,-1,-5,-1.8,-1.46,0.52,0.8,0.42,-0.6,u6exlp64My
4,4,1,2,-2,1,-2,-3,2,3,-2,-5,-1.8,-1.46,0.52,0.8,0.42,-0.6,u6exlp64My
4,5,0,2,-3,1,-3,-2,2,2,-1,-2,1.2,-1.46,0.52,-0.2,0.42,-0.6,u6exlp64My
5,1,1,2,-2,2,-3,-3,2,2,-2,-2,2,-2.26,0.52,1.2,0.02,-0.6,u6exlp64My
5,2,0,2,-3,2,-2,-3,2,2,2,-6,-2,-2.26,0.52,0.2,0.02,-0.6,u6exlp64My
5,3,0,1,-2,2,-3,-2,2,2,2,-4,0,-2.26,0.52,0.2,0.02,-0.6,u6exlp64My
5,4,-1,2,-2,2,-3,-3,2,2,-2,-4,0,-2.26,0.52,-0.8,0.02,-0.6,u6exlp64My
5,5,-1,2,-2,2,-2,-2,2,2,2,-4,0,-2.26,0.52,-0.8,0.02,-0.6,u6exlp64My
6,1,-1,1,-2,-3,-1,1,-2,-1,1,1,-4.4,7.14,0.52,0.4,-1.18,-0.6,u6exlp64My
6,2,0,2,2,-1,2,-2,3,-2,1,3,-2.4,7.14,0.52,1.4,-1.18,-0.6,u6exlp64My
6,3,-2,-2,3,-2,3,1,-3,2,2,8,2.6,7.14,0.52,-0.6,-1.18,-0.6,u6exlp64My
6,4,-2,-2,3,-3,3,1,-3,1,3,8,2.6,7.14,0.52,-0.6,-1.18,-0.6,u6exlp64My
6,5,-2,1,2,-2,1,2,-1,2,2,7,1.6,7.14,0.52,-0.6,-1.18,-0.6,u6exlp64My
7,2,0,2,-3,2,-2,-3,2,2,-1,-6,-0.33,-3.93,0.52,0,0.22,-0.6,u6exlp64My
7,3,-1,2,-2,2,-3,-3,2,2,-2,-7,-1.33,-3.93,0.52,-1,0.22,-0.6,u6exlp64My
7,5,1,2,-3,3,-3,-2,2,2,1,-4,1.67,-3.93,0.52,1,0.22,-0.6,u6exlp64My
8,1,0,2,-2,2,-2,-2,2,-1,1,-6,-7.5,3.24,0.52,1.25,-1.03,-0.6,u6exlp64My
8,2,-2,-1,3,-2,3,3,-3,-3,3,5,3.5,3.24,0.52,-0.75,-1.03,-0.6,u6exlp64My
8,3,-2,2,-2,-2,2,2,-2,2,2,6,4.5,3.24,0.52,-0.75,-1.03,-0.6,u6exlp64My
8,5,-1,1,1,-2,3,1,2,-3,1,1,-0.5,3.24,0.52,0.25,-1.03,-0.6,u6exlp64My
9,2,0,2,-2,2,-2,-2,2,2,-2,-5,0.33,-3.59,0.52,-0.67,0.89,-0.6,u6exlp64My
9,3,1,2,-1,2,-2,-2,2,2,-1,-6,-0.67,-3.59,0.52,0.33,0.89,-0.6,u6exlp64My
9,5,1,2,2,2,-2,-2,2,2,-1,-5,0.33,-3.59,0.52,0.33,0.89,-0.6,u6exlp64My
1,1,0,2,-3,2,-1,2,2,2,1,-6,0.25,-2.66,-1.33,-0.75,0.44,-0.07,ctctIyzmC8
1,3,1,2,-3,1,-2,2,2,2,1,-5,1.25,-2.66,-1.33,0.25,0.44,-0.07,ctctIyzmC8
1,4,0,2,-3,1,-2,-3,2,2,1,-6,0.25,-2.66,-1.33,-0.75,0.44,-0.07,ctctIyzmC8
1,5,2,3,-3,-2,-3,3,3,3,2,-8,-1.75,-2.66,-1.33,1.25,0.44,-0.07,ctctIyzmC8
2,1,1,1,-3,2,-2,-3,2,2,1,-2,3.5,-1.91,-1.33,0.5,0.19,-0.07,ctctIyzmC8
2,2,0,1,-3,1,-1,-2,2,2,2,-6,-0.5,-1.91,-1.33,-0.5,0.19,-0.07,ctctIyzmC8
2,4,1,3,-3,1,-1,-3,2,2,2,-8,-2.5,-1.91,-1.33,0.5,0.19,-0.07,ctctIyzmC8
2,5,0,2,-2,1,-2,-3,2,1,1,-6,-0.5,-1.91,-1.33,-0.5,0.19,-0.07,ctctIyzmC8
3,1,-1,1,-3,1,-1,-3,2,1,1,-1,2.5,0.09,-1.33,-1.5,0.19,-0.07,ctctIyzmC8
3,2,1,1,-2,1,-1,-2,2,1,1,-4,-0.5,0.09,-1.33,0.5,0.19,-0.07,ctctIyzmC8
3,3,1,2,-3,-1,-2,-2,2,1,2,-3,0.5,0.09,-1.33,0.5,0.19,-0.07,ctctIyzmC8
3,4,1,2,-3,1,-3,-3,2,3,2,-6,-2.5,0.09,-1.33,0.5,0.19,-0.07,ctctIyzmC8
4,1,1,2,-2,1,-1,-3,2,2,-2,-2,-3.75,5.34,-1.33,1.75,-1.06,-0.07,ctctIyzmC8
4,2,-1,2,-1,-1,-1,-3,1,-2,-1,0,-1.75,5.34,-1.33,-0.25,-1.06,-0.07,ctctIyzmC8
4,3,-2,-2,-1,2,2,1,-2,-2,2,5,3.25,5.34,-1.33,-1.25,-1.06,-0.07,ctctIyzmC8
4,4,-1,-1,1,1,2,1,-1,-1,-1,4,2.25,5.34,-1.33,-0.25,-1.06,-0.07,ctctIyzmC8
