day,time_window,context,scs_pos_1,scs_neg_2,scs_pos_3,scs_neg_4,scs_neg_5,scs_pos_6,scs_pos_7,scs_neg_8,neg_aff,neg_aff_Moment,neg_aff_Day,neg_aff_Person,context_Moment,context_Day,context_Person,user_id
1,1,1,2,-2,3,3,1,2,1,1,3,7,0.85,-2.59,-0.4,0.3,0.72,J4UCFGwTmf
1,2,1,2,-3,3,3,-1,2,-2,1,-1,3,0.85,-2.59,-0.4,0.3,0.72,J4UCFGwTmf
1,3,2,3,-2,3,2,-2,2,-2,3,-7,-3,0.85,-2.59,0.6,0.3,0.72,J4UCFGwTmf
1,4,2,2,-3,3,-2,-2,3,3,3,-8,-4,0.85,-2.59,0.6,0.3,0.72,J4UCFGwTmf
1,5,1,3,-3,3,-2,-3,3,3,3,-7,-3,0.85,-2.59,-0.4,0.3,0.72,J4UCFGwTmf
2,1,1,2,-2,3,-1,-1,2,1,2,-4,0.2,0.65,-2.59,0.2,-0.3,0.72,J4UCFGwTmf
2,2,1,3,-3,3,-2,-3,3,2,2,-5,-0.8,0.65,-2.59,0.2,-0.3,0.72,J4UCFGwTmf
2,3,1,2,-2,2,-2,-2,2,2,2,-4,0.2,0.65,-2.59,0.2,-0.3,0.72,J4UCFGwTmf
2,4,1,2,-3,2,-2,-2,2,2,3,-8,-3.8,0.65,-2.59,0.2,-0.3,0.72,J4UCFGwTmf
2,5,0,1,-2,1,1,-1,1,-1,-1,0,4.2,0.65,-2.59,-0.8,-0.3,0.72,J4UCFGwTmf
3,1,0,1,-2,2,1,1,1,1,1,-1,3.8,0.05,-2.59,-1.2,0.1,0.72,J4UCFGwTmf
3,2,1,2,-2,2,-1,-1,1,2,1,-4,0.8,0.05,-2.59,-0.2,0.1,0.72,J4UCFGwTmf
3,3,1,2,-2,1,-1,-1,2,2,2,-3,1.8,0.05,-2.59,-0.2,0.1,0.72,J4UCFGwTmf
3,4,2,3,-3,3,-3,-3,3,3,3,-8,-3.2,0.05,-2.59,0.8,0.1,0.72,J4UCFGwTmf
3,5,2,3,-3,3,-2,-2,3,3,3,-8,-3.2,0.05,-2.59,0.8,0.1,0.72,J4UCFGwTmf
4,1,1,2,-3,1,1,-2,1,1,1,-5,1.2,-1.35,-2.59,-0.4,0.3,0.72,J4UCFGwTmf
4,2,1,2,-2,1,-2,-2,1,2,2,-6,0.2,-1.35,-2.59,-0.4,0.3,0.72,J4UCFGwTmf
4,3,1,2,-2,2,-1,-2,2,2,2,-4,2.2,-1.35,-2.59,-0.4,0.3,0.72,J4UCFGwTmf
4,4,2,3,-3,2,-3,-3,2,3,2,-8,-1.8,-1.35,-2.59,0.6,0.3,0.72,J4UCFGwTmf
4,5,2,3,-3,3,-2,-3,3,3,2,-8,-1.8,-1.35,-2.59,0.6,0.3,0.72,J4UCFGwTmf
5,1,1,2,-2,2,1,-3,1,1,1,-5,2.4,-2.55,-2.59,-0.4,0.3,0.72,J4UCFGwTmf
5,2,1,3,-2,2,2,-1,2,1,2,-8,-0.6,-2.55,-2.59,-0.4,0.3,0.72,J4UCFGwTmf
5,3,2,3,-3,3,3,-3,2,2,3,-8,-0.6,-2.55,-2.59,0.6,0.3,0.72,J4UCFGwTmf
5,4,2,2,-3,2,-2,-2,3,2,3,-8,-0.6,-2.55,-2.59,0.6,0.3,0.72,J4UCFGwTmf
5,5,1,3,-2,3,-3,-3,3,3,2,-8,-0.6,-2.55,-2.59,-0.4,0.3,0.72,J4UCFGwTmf
6,1,1,2,-3,2,-2,-2,2,2,2,-8,-0.4,-2.75,-2.59,-0.6,0.5,0.72,J4UCFGwTmf
6,2,1,3,-3,2,-2,-3,2,2,2,-6,1.6,-2.75,-2.59,-0.6,0.5,0.72,J4UCFGwTmf
6,3,2,3,-3,2,-3,-3,2,2,2,-8,-0.4,-2.75,-2.59,0.4,0.5,0.72,J4UCFGwTmf
6,4,2,3,-3,2,-2,-3,3,2,3,-8,-0.4,-2.75,-2.59,0.4,0.5,0.72,J4UCFGwTmf
