"subject","sex","age","education","job","mother_tongue","mother_tongue_details","handedness","glasses","BIS_V","BIS_N","BIS_F","BIS_PC","BIS_M","BIS_PS","BIS_C","BIS_IQ","WMC_MU","WMC_OpSp","WMC_SenSp","WMC_Binding","miniq_sum","miniq_1","miniq_2","miniq_3","miniq_odd","miniq_even","SMS_RT","SMS_a","SMS_v","SMS_t0","SMS_st0","CRT_RT","CRT_a","CRT_v","CRT_t0","CRT_st0","PLM_RT","PLM_a","PLM_v","PLM_t0","PLM_st0","BIS_V_z","BIS_N_z","BIS_F_z","BIS_PC_z","BIS_M_z","BIS_PS_z","BIS_C_z","BIS_IQ_z","WMC_MU_z","WMC_OpSp_z","WMC_SenSp_z","WMC_Binding_z","miniq_1_z","miniq_2_z","miniq_3_z","SMS_v_z","CRT_v_z","PLM_v_z","age_z","SMS_RT_z","CRT_RT_z","PLM_RT_z"
1,"m",22,5,4,2,"rus",1,2,112.8,110.8,100,109.33,104.33,109,107.33,112,0.716666667,0.946428571,0.973809524,0.917857143,43,0.681818182,0.666666667,0.666666667,0.696969697,0.65625,0.712644681,1.3037,2.5581,0.4757,0.207,0.346865979,1.7336,10.9429,0.2713,0.1597,0.633953782,1.3575,3.6552,0.4523,0.1225,1.3485409,1.744202936,0.428070012,1.084146632,0.801840691,1.099394206,1.316435884,1.405257718,0.428510857,1.301067816,1.178567204,0.513180191,0.478375496,0.271920958,0.382736358,0.285538248,2.934092189,0.5356206,-0.70297598,-0.949213505077241,-0.729163459231688,-0.60758258615443
2,"w",20,5,8,1,"deu",2,2,102.2,91,103.8,100,102.33,96,96.67,95,0.796666667,0.733253968,0.820952381,0.902357143,43,0.681818182,0.666666667,0.666666667,0.696969697,0.65625,1.099696552,1.7862,1.4096,0.5158,0.1945,0.406734694,1.0835,5.6191,0.3092,0.1677,0.973619492,2.1052,2.1241,0.5022,0.2375,-0.452426249,-1.070287753,0.990374324,-0.225855524,0.52254753,-0.719074471,-0.212961755,-0.196520715,0.824095825,-0.333652217,-0.175349164,0.372823175,0.478375496,0.271920958,0.382736358,-1.379259517,-0.389641769,-1.584466599,-0.844582652,0.769639754089368,0.440620302405989,2.10791062671338
3,"m",41,3,5,1,"deu",2,2,94.2,99.6,89,97,88,96.33,93,85,0.422222222,0.572380952,0.686666667,0.879785714,19,0.272727273,0.285714286,0.333333333,0.272727273,0.3125,1.066430526,1.8128,2.1617,0.6447,0.1018,0.368336735,0.9663,5.8555,0.2834,0.096,0.753039316,1.6279,2.2936,0.4172,0.2391,-1.811646738,0.152167798,-1.199652996,-0.647078083,-1.478587971,-0.672913344,-0.739499216,-1.138743323,-1.027461598,-1.567299839,-1.364771017,0.168432308,-2.097492557,-1.872807726,-1.633831548,-0.289059779,-0.242053447,-1.349762935,0.642287406,0.621909122890272,-0.309643151857716,0.344459229687796
5,"m",52,6,6,1,"deu",2,2,109.2,99.6,93.4,101.17,95.33,113,93,98,0.634444444,0.668174603,0.867619048,0.758357143,43,0.636363636,0.714285714,0.666666667,0.666666667,0.6875,0.642079592,1.4159,3.8283,0.4562,0.0675,0.34622449,0.6943,8.2765,0.3079,0.0236,0.6933225,1.2591,3.9389,0.5331,0.1633,0.73689168,0.152167798,-0.548563793,-0.061578726,-0.454978535,1.65892303,-0.739499216,0.086146067,0.021937414,-0.832710455,0.237996022,-0.931138786,0.192167934,0.540012044,0.382736358,2.126745144,1.269415787,0.928454992,1.421124104,-1.26258502527597,-0.741697608586141,-0.132953131254013
6,"w",59,6,5,1,"deu",2,1,93,83.6,86,86.17,84,82.33,99,70,0.301111111,NA,NA,0.692857143,30,0.454545455,0.476190476,0.476190476,0.454545455,0.46875,1.041492784,1.4105,2.8457,0.8062,0.4,0.455642857,1.142,4.6213,0.3344,0.1063,0.993040336,2.4303,2.7534,0.5609,0.3086,-2.015529812,-2.122168112,-1.643577453,-2.167691518,-2.037174293,-2.631264227,0.121324971,-2.552077235,-1.626333285,NA,NA,-1.524260372,-0.952662312,-0.800443384,-0.76958816,0.702426221,-1.012584356,-0.713085974,1.916747456,0.511163452026544,1.39624420194899,2.26317260493946
7,"m",55,7,5,1,"deu",2,1,121.6,NA,108.8,118.67,116,119,113.33,130,0.91,0.991666667,0.973333333,1,48,0.727272727,0.761904762,0.761904762,0.757575758,0.75,0.739970408,1.3964,3.696,0.5447,0.1303,0.404989796,0.8436,5.9519,0.3353,0.0842,0.582628947,0.8901,2.9091,0.459,0.1435,2.843683439,NA,1.730248418,2.395552864,2.431516288,2.498216266,2.17726007,3.101258412,1.384507862,1.647974158,1.174349391,1.257007697,0.764583057,0.808103129,0.958898616,1.934970878,-0.181869377,-0.497490927,1.633534112,-0.827863064910923,0.406526479845841,-1.01790437310802
8,"w",60,6,6,1,"deu",2,2,107,108,95,103.5,106.67,109,94,103,0.936666667,0.770238095,0.880952381,0.7095,56,0.818181818,0.904761905,0.857142857,0.878787879,0.84375,1.279285714,2.2784,3.1649,0.9357,0.9098,0.36430303,0.8411,4.1655,0.2708,0.0375,0.698325217,1.4788,4.7623,0.5369,0.3151,0.363106045,1.346194151,-0.311804083,0.265570794,1.12861369,1.099394206,-0.596028518,0.557257371,1.516369519,-0.050041072,0.356094643,-1.373554452,1.33699818,1.612376386,1.535060875,1.165119687,-1.297147626,2.068602468,1.987550793,1.56717476048829,-0.388458316142379,-0.0929583844796077
9,"w",45,5,4,1,"deu",2,2,106.8,97.8,95.8,92.83,100.33,105.33,109.33,97,0.356666667,0.646984127,0.664603175,0.833285714,34,0.545454545,0.523809524,0.523809524,0.545454545,0.5,0.902197917,1.3651,2.2333,0.6245,0.1099,0.37624,0.9077,5.919,0.3027,0.1055,0.756764655,1.3792,2.7348,0.5146,0.0975,0.329125533,-0.103694992,-0.193424228,-1.232577439,0.243254369,0.58602651,1.603377279,-0.008076194,-1.351621499,-0.995208684,-1.56019612,-0.252638742,-0.380247189,-0.532352298,-0.481507031,-0.185272648,-0.202409376,-0.738841067,0.925500751,-0.10742918133171,-0.155220076952577,0.374241843806047
10,"m",57,7,6,1,"deu",2,1,99.8,99.8,98.4,100.5,97.33,102,96.33,95,0.435555556,0.662063492,0.576507937,0.716714286,24,0.454545455,0.285714286,0.380952381,0.393939394,0.34375,1.107511828,1.7822,1.4783,0.6088,0.4982,0.374469388,0.7482,6.5667,0.3177,0.0975,0.762723729,1.4348,2.8546,0.5294,0.1592,-0.860192396,0.180596997,0.191310302,-0.155651764,-0.175685373,0.120218764,-0.261741792,-0.196520715,-0.961530766,-0.87957324,-2.340490598,-1.30822699,-0.952662312,-1.872807726,-1.345750419,-1.279676055,0.20196015,-0.572956117,1.775140784,0.80434650434788,-0.189816329198192,0.42188228711714
11,"w",50,7,5,1,"deu",2,2,106.6,96.8,99.2,96.5,103,99.33,109,98,0.586666667,0.782460317,0.847619048,0.776214286,47,0.681818182,0.761904762,0.761904762,0.757575758,0.71875,0.956602128,1.4773,1.5494,0.5852,0.2506,NA,NA,NA,NA,NA,0.712320168,1.3177,2.5463,0.4829,0.0924,0.295145021,-0.245840986,0.309690157,-0.717281842,0.616110739,-0.253266726,1.556031949,0.086146067,-0.214314716,0.043684498,0.060848086,-0.769437153,0.478375496,0.808103129,0.958898616,-1.176613694,NA,-0.999853696,1.279517431,0.134173721008317,NA,0.0189257219699876
