"subject","sex","age","education","job","mother_tongue","mother_tongue_details","handedness","glasses","BIS_V","BIS_N","BIS_F","BIS_PC","BIS_M","BIS_PS","BIS_C","BIS_IQ","WMC_MU","WMC_OpSp","WMC_SenSp","WMC_Binding","miniq_sum","miniq_1","miniq_2","miniq_3","miniq_odd","miniq_even","SMS_RT","SMS_a","SMS_v","SMS_t0","SMS_st0","CRT_RT","CRT_a","CRT_v","CRT_t0","CRT_st0","PLM_RT","PLM_a","PLM_v","PLM_t0","PLM_st0","BIS_V_z","BIS_N_z","BIS_F_z","BIS_PC_z","BIS_M_z","BIS_PS_z","BIS_C_z","BIS_IQ_z","WMC_MU_z","WMC_OpSp_z","WMC_SenSp_z","WMC_Binding_z","miniq_1_z","miniq_2_z","miniq_3_z","SMS_v_z","CRT_v_z","PLM_v_z","age_z","SMS_RT_z","CRT_RT_z","PLM_RT_z"
12,"w",45,8,5,1,"deu",2,1,108.6,96.8,96.4,100.17,102.33,100,100.33,98,0.35,0.500952381,0.841269841,NA,37,0.590909091,0.571428571,0.571428571,0.575757576,0.5625,1.218028866,1.8122,2.0941,0.8063,0.327,0.42074,0.9663,5.294,0.3301,0.0525,0.754010084,1.5244,3.2812,0.5255,0.1627,0.634950143,-0.245840986,-0.104639336,-0.201986246,0.52254753,-0.159545648,0.312140999,0.086146067,-1.384586915,-2.115046682,0.004610641,NA,-0.094039627,-0.264261213,-0.193425901,-0.387048747,-0.592606927,0.017749388,0.925500751,1.29514007800752,0.714272067531843,0.352220136478386
13,"m",58,4,7,1,"deu",2,2,91.4,96.4,77.8,88,88,90.33,88.33,73,0.294444444,0.707698413,0.892063492,0.536928571,17,0.363636364,0.238095238,0.19047619,0.242424242,0.28125,1.07542766,1.5106,1.5859,0.7043,0.5924,0.55098,1.3389,3.823,0.3865,0.2458,1.064105932,2.1375,1.9183,0.5531,0.4888,-2.28737391,-0.302699384,-2.856970968,-1.910745758,-1.478587971,-1.512206579,-1.409507375,-2.269410453,-1.6592987,-0.529623862,0.454510162,-2.936239028,-1.525077435,-2.140898812,-2.498074936,-1.12370545,-1.510975884,-1.869434233,1.84594412,0.66186436986816,3.25905087422063,2.83131398019457
14,"m",57,7,6,1,"deu",2,1,110.6,103.4,98,105.33,98.33,101.33,109.67,105,0.448888889,0.819603175,0.942857143,0.727357143,34,0.5,0.571428571,0.523809524,0.515151515,0.53125,0.895645918,1.4418,2.8441,0.6554,0.0825,0.355676768,0.9078,6.4091,0.2799,0.1275,0.590428302,0.9884,2.3035,0.4186,0.0375,0.974755265,0.692322577,0.132120374,0.522516555,-0.036038793,0.026497686,1.652157316,0.745701893,-0.89559994,0.328512865,0.904409683,-1.211852819,-0.66645475,-0.264261213,-0.481507031,0.700106955,0.103567936,-1.336054579,1.775140784,-0.136525862368569,-0.557008137384279,-0.955551609953782
15,"w",55,7,5,2,"fra",2,1,100.8,91.8,88.6,93.17,93.67,92,96.67,84,0.364444444,0.432063492,0.717777778,0.773785714,26,0.409090909,0.428571429,0.380952381,0.424242424,0.375,1.207805618,1.3407,1.7624,0.8842,0.2294,0.404020202,0.732,5.7326,0.344,0.076,0.879646218,1.4662,3.2055,0.6589,0.1876,-0.690289834,-0.956570958,-1.258842924,-1.184838882,-0.686791858,-1.278603295,-0.212961755,-1.232965584,-1.313161853,-2.643318086,-1.089207562,-0.79142858,-1.238869873,-1.06853447,-1.345750419,-0.867861475,-0.318781894,-0.087071068,1.633534112,1.2497397984567,0.387581437905633,1.35663141240009
16,"w",20,5,4,1,"deu",2,1,109.8,101.4,95.4,100.5,112.33,103.33,94.33,101,0.713333333,0.842857143,0.958730159,0.945214286,52,0.772727273,0.857142857,0.80952381,0.848484848,0.78125,0.54026044,0.8707,2.6666,0.4168,0.0975,0.334857143,0.9264,5.6292,0.2537,0.0676,0.584313158,1.142,3.7937,0.4305,0.146,0.838833217,0.408030588,-0.252614155,-0.155651764,1.919013337,0.306262098,-0.548683188,0.368812849,0.412028147,0.506834892,1.045003284,0.760907093,1.050790618,1.3442853,1.246979746,0.442813439,-0.383336177,0.72739911,-0.844582652,-1.71475227822998,-0.963805898926108,-1.00443977128072
17,"m",19,5,4,1,"deu",2,2,110.4,105.2,107,113.83,95.67,113.67,100.67,112,0.673333333,0.733730159,0.614444444,0.964285714,49,0.772727273,0.761904762,0.761904762,0.757575758,0.78125,0.768037234,0.9508,2.7393,0.6204,0.2478,0.368876289,0.9628,6.1537,0.2873,0.0525,0.639238261,1.3549,3.8246,0.4623,0.1372,0.940774753,0.948185367,1.463893744,1.71598047,-0.407498697,1.752644108,0.360921036,1.405257718,0.214235663,-0.330000567,-2.004471903,0.933604431,1.050790618,0.808103129,0.958898616,0.548195065,-0.055882392,0.770185796,-0.915385988,-0.703221488524997,-0.299100725688612,-0.565335263461649
18,"w",59,7,6,1,"deu",2,1,103.6,103,92.6,98.33,94,102.33,105.67,96,0.375555556,0.749761905,0.792380952,0.609571429,43,0.681818182,0.666666667,0.666666667,0.666666667,0.6875,0.850586598,1.3788,2.9779,0.6297,0.1283,0.386122449,0.7664,5.1604,0.317,0.0782,0.646686441,1.1847,3.1799,0.4685,0.0871,-0.214562663,0.635464179,-0.666943648,-0.460336082,-0.640708487,0.166379892,1.078274525,-0.102298455,-1.258219492,-0.207061831,-0.428417648,-2.278436781,0.478375496,0.271920958,0.382736358,0.894055532,-0.676015556,-0.122518937,1.916747456,-0.336629168516471,0.0378745696489481,-0.505790005748653
19,"d",19,5,4,1,"deu",2,2,116,104,112.6,115.67,112.67,100.67,109.67,118,0.933333333,0.83015873,0.99047619,0.935714286,46,0.727272727,0.761904762,0.666666667,0.757575758,0.6875,0.651997959,1.1154,4.0089,0.5157,0.2216,0.38625,0.7906,7.8585,0.3385,0.0337,0.678464706,1.5244,3.4013,0.4613,0.1808,1.892229096,0.777610174,2.29255273,1.974330306,1.966493174,-0.06582457,1.652157316,1.970591283,1.499886809,0.409457673,1.326190477,0.674881825,0.764583057,0.808103129,0.382736358,2.388532237,1.008451665,0.184049743,-0.915385988,-1.21853868750859,0.0403668076831309,-0.25173532674024
20,"w",43,6,5,1,"deu",2,2,99.4,95.6,104.6,92.33,104.33,106.67,103.67,97,0.485555556,0.876587302,0.834285714,0.852357143,25,0.409090909,0.380952381,0.380952381,0.393939394,0.375,1.184852083,2.5812,1.7004,0.4671,0.5387,NA,NA,NA,NA,NA,1.04725812,1.934,2.214,0.6245,0.0294,-0.92815342,-0.416416179,1.108754179,-1.302781198,0.801840691,0.773468666,0.79133313,-0.008076194,-0.714290161,0.765493127,-0.057250543,-0.079941395,-1.238869873,-1.336625555,-1.345750419,-0.957733013,NA,-1.459983652,0.783894078,1.14780576480325,NA,2.69662237668337
21,"w",48,6,6,1,"deu",2,1,104.6,92,95.2,95.5,93.67,92.33,109.33,91,0.696666667,0.885714286,0.877777778,0.847642857,35,0.545454545,0.523809524,0.571428571,0.545454545,0.53125,1.115330928,2.0762,3.1015,0.7804,0.2881,0.49543,1.4928,4.1856,0.3247,0.1067,0.918535294,1.9618,2.5308,0.5422,0.3875,-0.044660102,-0.928141759,-0.282209119,-0.857689362,-0.686791858,-1.232442167,1.603377279,-0.573409759,0.329614615,0.835483001,0.327975925,-0.122630628,-0.380247189,-0.532352298,-0.193425901,1.073218792,-1.284598873,-1.021316273,1.137910759,0.839070236554693,2.17365112981367,1.66753421719808
22,"m",59,5,7,1,"deu",2,1,109.2,98.4,94,107.33,90,96,102,98,0.78,0.629047619,0.826031746,NA,21,0.318181818,0.333333333,0.333333333,0.333333333,0.3125,1.203283333,2.2182,1.578,0.5354,6e-04,0.431195876,0.9927,5.8642,0.348,0.0975,0.778433613,1.403,3.5962,0.5922,0.2641,0.73689168,-0.018407395,-0.459778902,0.803331593,-1.199294809,-0.719074471,0.551737064,0.086146067,0.741682289,-1.132754004,-0.130359213,NA,-1.811284996,-1.604716641,-1.633831548,-1.135156824,-0.236621897,0.453924339,1.916747456,1.22965684603214,0.918570989907195,0.547476605651503
23,"m",23,5,4,1,"deu",2,2,96.4,95.8,93.8,93.33,86.67,103.67,99.67,87,0.608888889,0.688253968,0.656190476,0.897642857,29,0.454545455,0.476190476,0.428571429,0.454545455,0.4375,0.947943662,1.3845,1.1356,0.5118,0.1585,0.388252747,1.5701,4.6913,0.1947,0.0074,0.838723711,1.561,1.6125,0.3888,0.0178,-1.437861104,-0.38798698,-0.489373865,-1.162373679,-1.664317923,0.353822048,0.217450338,-0.950298802,-0.104430004,-0.678732731,-1.634710733,0.330133941,-0.952662312,-0.800443384,-1.057669289,-1.776433734,-0.96888223,-2.292870106,-0.632172644,0.09572246003125,0.079498780354811,1.0294721297865
24,"w",23,5,4,1,"deu",2,2,113.8,93,101.8,102.67,107,97.33,104.67,102,0.72,0.851904762,0.925396825,0.9,44,0.681818182,0.666666667,0.714285714,0.696969697,0.6875,0.685269892,1.1145,2.4138,0.4859,0.1425,0.374,0.9077,6.5727,0.3057,0.0897,0.607432456,0.8052,3.1522,0.5113,0.2109,1.518443461,-0.785995765,0.694424686,0.149032553,1.174697062,-0.533031138,0.934803827,0.46303511,0.444993562,0.576216159,0.749756719,0.351478558,0.478375496,0.271920958,0.670817487,0.076369491,0.205706047,-0.160874639,-0.632172644,-1.07078182399553,-0.198987771416513,-0.819610113894144
25,"m",44,6,5,1,"deu",2,1,102.6,100.2,97,98.83,101.33,100.33,100.33,97,0.786666667,0.835873016,0.977777778,0.892857143,44,0.681818182,0.714285714,0.666666667,0.696969697,0.6875,0.830140625,0.8827,2.8617,0.7199,0.3681,0.387040816,0.9133,6.3601,0.3153,0.1125,0.886262393,1.7862,3.0348,0.592,0.2737,-0.384465224,0.237455395,-0.015854445,-0.390132322,0.382900949,-0.11338452,0.312140999,-0.008076194,0.774647704,0.453277423,1.213715604,0.286797907,0.478375496,0.540012044,0.382736358,0.725618876,0.072976448,-0.323436351,0.854697415,-0.427427405034704,0.0558186795872346,1.40952511870811
26,"w",19,5,4,1,"deu",2,2,111,95.2,102.2,104.67,96.67,103.33,104.67,102,0.558888889,0.61531746,0.658412698,0.971428571,30,0.409090909,0.523809524,0.476190476,0.454545455,0.46875,0.737408696,1.2318,2.2393,0.4947,0.3181,0.388571429,0.9663,5.4121,0.2991,0.07,0.594816814,0.9118,3.7851,0.4802,0.1589,1.04271629,-0.473274577,0.753614613,0.429847592,-0.267852116,0.306262098,0.934803827,0.46303511,-0.351670609,-1.238043122,-1.615027631,0.998285082,-1.238869873,-0.532352298,-0.76958816,-0.176575403,-0.518875198,0.715490842,-0.915385988,-0.839239336026394,0.0857255555365772,-0.920467189596516
28,"w",49,7,5,1,"deu",2,1,99.6,97,105,99,99.33,103,102.33,98,0.602222222,0.891428571,0.957142857,0.955928571,33,0.5,0.523809524,0.523809524,0.515151515,0.5,1.61502963,1.6266,0.8936,1.1112,0.7811,0.365234694,0.9276,6.2565,0.292,0.0525,0.781959483,1.5988,2.4479,0.4737,0.2161,-0.894172908,-0.217411787,1.167944106,-0.366263044,0.103607788,0.26010097,0.599082395,0.086146067,-0.137395419,0.879302744,1.030943921,0.857928066,-0.66645475,-0.532352298,-0.481507031,-2.12722264,0.008297302,-1.136106443,1.208714095,3.05817523742943,-0.370254394135662,0.575664543887759
29,"m",21,5,4,1,"deu",1,2,108.6,100.4,94.2,102.33,106,98.33,96.33,99,0.894444444,1,1,0.946428571,18,0.272727273,0.285714286,0.285714286,0.272727273,0.28125,1.323804494,1.8644,1.1295,0.7197,0.4495,0.454357143,1.3552,3.7701,0.2743,0.0375,0.975649541,1.5571,1.4915,0.5503,0.0158,0.634950143,0.265884594,-0.430183938,0.101293996,1.035050481,-0.393148932,-0.261741792,0.180368328,1.30758856,1.711877954,1.410546642,0.771902797,-2.097492557,-1.872807726,-1.921912677,-1.785275933,-1.544002205,-2.460416675,-0.773779316,1.76487759008428,1.37112244412756,2.12414006677458
30,"m",24,5,4,1,"deu",2,2,108,98.8,100,100.83,114.33,106.33,89,101,0.592222222,0.790555556,0.803174603,0.976214286,43,0.681818182,0.666666667,0.666666667,0.696969697,0.65625,0.832870103,1.7066,2.7848,0.5169,0.2325,0.344438776,0.9736,5.5003,0.2584,0.1012,0.600022807,1.2593,3.2074,0.4112,0.2161,0.533008606,0.038451003,0.428070012,-0.109317283,2.198306498,0.725908716,-1.313382007,0.368812849,-0.18684354,0.105762481,-0.332813998,1.041621126,0.478375496,0.271920958,0.382736358,0.614149178,-0.46381052,-0.084440172,-0.561369308,-0.415306104228168,-0.7765889410647,-0.878847331478553
31,"w",35,6,5,1,"deu",2,1,100,101.4,80.4,95,100,91.67,88,84,0.334444444,0.680873016,0.62,0.653571429,25,0.409090909,0.380952381,0.380952381,0.393939394,0.375,1.279119588,1.4712,2.5381,1.002,0.2325,0.446050505,0.6149,5.6348,0.3961,0.1021,0.869311966,2.0112,2.7369,0.4798,0.0376,-0.826211883,0.408030588,-2.472236439,-0.927893121,0.197170997,-1.324764423,-1.456852705,-1.232965584,-1.461506216,-0.735333235,-1.955264139,-1.88000396,-1.238869873,-1.336625555,-1.345750419,0.256547429,-0.379840007,-0.735933234,0.21746739,1.56643701385037,1.20881780394608,1.27401314879595
32,"w",19,5,4,1,"deu",1,2,101.8,103.2,92.4,96.17,102.67,110.33,90.33,95,0.64,0.759603175,0.777460317,0.942857143,31,0.5,0.476190476,0.476190476,0.484848485,0.46875,0.730633333,1.4519,2.6052,0.4415,0.0375,0.499020202,1.2006,5.6433,0.3967,0.217,0.78479569,1.3768,3.8263,0.5999,0.1952,-0.520387273,0.663893378,-0.696538612,-0.763616324,0.570027367,1.28543754,-1.122565979,-0.196520715,0.049408594,-0.131594486,-0.560575632,0.739562476,-0.66645475,-0.800443384,-0.76958816,0.353811626,-0.37453332,0.772539756,-0.915385988,-0.869327951137589,2.24380062276002,0.598338898796262
33,"m",25,5,4,1,"deu",2,1,106.4,105.8,95.8,102.5,92.67,101.67,114,102,0.67,0.948809524,0.958730159,0.932142857,28,0.454545455,0.428571429,0.428571429,0.424242424,0.4375,0.991549438,1.579,1.3674,0.5235,0.258,0.355653061,0.9706,7.5752,0.2896,0.111,0.676007895,1.3177,2.7823,0.4483,0.2193,0.261164508,1.033472964,-0.193424228,0.125163274,-0.826438439,0.074057636,2.273385438,0.46303511,0.197752957,1.319326049,1.045003284,0.642541494,-0.952662312,-1.06853447,-1.057669289,-1.440430145,0.831582919,-0.673068653,-0.490565972,0.289370742889154,-0.557471351997071,-0.271376560457352
35,"m",21,5,4,1,"deu",2,2,105,110.6,92,102.17,112.67,100.67,95,102,0.711111111,0.922142857,0.876190476,0.955928571,31,0.454545455,0.523809524,0.476190476,0.454545455,0.5,0.821711364,1.059,1.7646,0.6193,0.2488,0.41311,1.4933,5.0158,0.2681,0.071,0.794851282,1.9168,2.9959,0.4538,0.132,0.023300923,1.715773737,-0.755728539,0.078828793,1.966493174,-0.06582457,-0.45255782,0.46303511,0.401039677,1.11483389,0.313916561,0.857928066,-0.952662312,-0.532352298,-0.76958816,-0.864672485,-0.766291662,-0.377300496,-0.773779316,-0.464860792721947,0.565188358264064,0.678729385746998
36,"m",53,6,5,1,"deu",2,1,99.6,100.6,94.2,95,91,98.33,111.33,93,0.496666667,0.45515873,0.649365079,0.752357143,27,0.409090909,0.428571429,0.428571429,0.424242424,0.40625,0.987281443,1.3349,2.7314,0.752,0.2233,0.407939394,1.2005,7.1524,0.321,0.1566,0.741848696,1.6343,2.8991,0.4656,0.3013,-0.894172908,0.294313793,-0.430183938,-0.927893121,-1.059648229,-0.393148932,1.890318675,-0.384965237,-0.659347805,-2.466213273,-1.695165982,-0.985470534,-1.238869873,-1.06853447,-1.057669289,0.536743692,0.56762208,-0.511337751,1.49192744,0.270417063381281,0.464159115584874,0.254994642114966
37,"w",24,5,4,1,"deu",2,1,105,103.6,104.4,103.83,100,110.67,103.33,105,0.86,0.688650794,0.772539683,0.976214286,44,0.681818182,0.714285714,0.666666667,0.696969697,0.6875,0.988573684,1.5676,2.2782,0.6617,0.0525,0.360494949,0.9077,6.586,0.2932,0.0882,0.689056034,1.3818,3.039,0.4691,0.2654,0.023300923,0.720751776,1.079159215,0.311905275,0.197170997,1.33299749,0.742553092,0.745701893,1.137267257,-0.675689688,-0.60415964,1.041621126,0.478375496,0.540012044,0.382736358,-0.12018826,0.214009451,-0.317620685,-0.561369308,0.276155758426831,-0.462864979402164,-0.167061842038894
38,"w",30,5,4,1,"deu",2,2,102,89.4,99.4,102.33,98,96.67,85.33,91,0.553333333,0.728095238,0.696984127,0.769071429,38,0.590909091,0.571428571,0.619047619,0.606060606,0.5625,0.90106875,1.9183,3.2417,0.5947,0.3383,0.333181818,0.9664,7.3485,0.2682,0.0946,0.729215254,1.8369,3.0921,0.4391,0.2337,-0.486406761,-1.297721345,0.33928512,0.101293996,-0.082122164,-0.625353393,-1.839919468,-0.573409759,-0.379141789,-0.37321171,-1.27338518,-0.834117804,-0.094039627,-0.264261213,0.094655228,1.276444431,0.690050463,-0.244094051,-0.136549291,-0.112443683323598,-0.996540324251015,0.153995262442053
39,"w",24,7,5,1,"deu",2,2,101.2,96.2,106.8,103.17,98,106,96.67,100,0.85,0.816507937,0.872380952,0.923785714,43,0.681818182,0.666666667,0.666666667,0.696969697,0.65625,0.741285714,1.2065,4.4124,0.6089,0.1699,0.35010101,0.7606,6.9153,0.2947,0.1091,0.593230631,0.826,3.1555,0.4873,0.1163,-0.62232881,-0.331128583,1.43429878,0.219236313,-0.082122164,0.679747588,-0.212961755,0.274590589,1.087819136,0.304777169,0.280174095,0.566865129,0.478375496,0.271920958,0.382736358,2.973422005,0.419596736,-0.156305187,-0.561369308,-0.822021940828354,-0.665953705486439,-0.9331480962764
40,"w",40,7,5,1,"deu",2,2,106.2,92.8,100,100.67,106.67,93,97.33,96,0.45,0.522936508,0.751746032,0.883285714,39,0.590909091,0.619047619,0.619047619,0.606060606,0.59375,0.957134375,1.4807,2.5925,0.6784,0.4046,0.397191919,0.8623,5.1959,0.3198,0.0647,0.707118333,1.3792,2.8755,0.4701,0.0017,0.227183996,-0.814424964,0.428070012,-0.131782486,1.12861369,-1.138721089,-0.118271095,-0.102298455,-0.890105705,-1.946462375,-0.788337258,0.200125828,-0.094039627,0.003829873,0.094655228,0.335402456,-0.653852335,-0.544016255,0.57148407,0.13653736929212,0.254162596808633,-0.0226608945800258
41,"w",18,5,8,1,"deu",2,1,98.2,98.8,105.4,103.17,107,99.67,91,98,0.831111111,0.988888889,0.86031746,0.976214286,42,0.681818182,0.666666667,0.619047619,0.666666667,0.65625,0.883346465,1.7708,2.1434,0.4874,0.0825,0.340484536,1.1407,7.6689,0.2688,0.0144,0.584390517,1.1089,3.0686,0.4202,0.1745,-1.132036494,0.038451003,1.227134034,0.219236313,1.174697062,-0.205706775,-1.026440612,0.086146067,0.994417129,1.62667289,0.17332296,1.041621126,0.478375496,0.271920958,0.094655228,-0.315586378,0.890081336,-0.276634087,-0.986189325,-0.191146331765593,-0.853851426849106,-1.00382131662584
42,"m",22,5,4,1,"deu",2,1,109.2,105.8,101.8,108,101,112.33,98.67,108,0.866666667,0.788333333,0.920634921,0.953571429,62,0.954545455,1,0.952380952,0.96969697,0.96875,0.682484946,0.8431,3.0987,0.5686,0.1691,0.411886598,0.9672,5.6353,0.3236,0.1687,0.927941739,1.0803,2.757,0.7569,0.2431,0.73689168,1.033472964,0.694424686,0.897404631,0.336817578,1.565201952,0.073979641,1.028368675,1.170232672,0.088721462,0.707578646,0.836583458,2.195620864,2.148558557,2.111223134,1.069160077,-0.379527849,-0.708101118,-0.70297598,-1.08314945187015,0.541284123914704,1.74273503024074
43,"w",21,5,4,1,"deu",2,2,106.4,98.8,111,106.33,107,104.33,103,107,0.771111111,0.846825397,0.961904762,0.982142857,47,0.727272727,0.761904762,0.714285714,0.757575758,0.71875,0.680116667,1.4932,3.1028,0.4453,0.0912,0.323070707,0.8711,7.0767,0.2604,0.0237,0.576762393,0.9077,3.8069,0.4698,0.1616,0.261164508,0.038451003,2.05579302,0.662924074,1.174697062,0.446144304,0.695207762,0.934146414,0.697728403,0.537265273,1.073122003,1.095306064,0.764583057,0.808103129,0.670817487,1.075103195,0.520361352,0.745676918,-0.773779316,-1.093666709072,-1.19410283181304,-1.06480515555651
